Word,Translation
pleasure,удовольствие
driving,вождение
hanging,висит
picked,выбрал
system,система
sell,продавать
quit,покидать
apparently,по всей видимости
dying,умирающий
notice,уведомление
Josh,мистифицировать
congratulations,Поздравляю
chief,главный
faith,Вера
Simon,Саймон
gay,гей
ho,эй
or,или же
Ho,эй
one,один
s,s
month,месяц
visit,посещение
Hal,Хэл
could,мог
ve,ве
c,с
mon,понедельник
aw,ав
Edmund,Эдмунд
Brady,Brady
letter,письмо
decide,решать
American,американский
double,двойной
Troy,Трой
sad,грустный
press,Нажмите
forward,вперед
fool,дурак
showed,показал
smell,запах
seemed,казалось
Mary,Мэри
spell,заклинание
Courtney,Courtney
memory,объем памяти
Mark,отметка
or,или же
mark,отметка
Alan,Алан
pictures,фотографий
Paris,Париж
slow,медленный
Joe,Джо
or,или же
joe,Джо
Tim,Тим
seconds,секунд
hungry,голодный
board,доска
position,должность
hearing,слушание
Roz,Roz
kitchen,кухня
ma,мама
am,являюсь
Bob,боб
or,или же
bob,боб
force,сила
fly,летать
during,в течение
space,космос
should,должен
ve,ве
realized,осуществленный
experience,опыт
kick,пинать
others,другие
grab,схватить
mother,мама
s,s
P,п
Sharon,Sharon
discuss,обсуждать
third,в третьих
cat,Кот
or,или же
Cat,Кот
fifty,пятьдесят
responsible,ответственный
Jennifer,Дженнифер
Philip,Филипп
miles,миль
or,или же
Miles,миль
fat,толстый
reading,чтение
idiot,идиот
yep,Ага
rock,рок
rich,богатый
suddenly,"вдруг, внезапно"
agent,агент
bunch,связка
destroy,разрушать
bucks,баксы
track,отслеживать
shoes,туфли
scene,сцена
peace,мир
arms,оружие
demon,демон
Diane,Диана
Bridget,Бриджит
Brad,штифтик
low,низкий
Livvie,Livvie
consider,рассмотреть возможность
papers,документы
medical,медицинская
incredible,невероятный
witch,ведьма
er,эр
drunk,пьяный
attorney,адвокат
Charlie,Чарли
tells,говорит
knock,постучать
Karen,Карен
ways,пути
eh,а
belle,красавица
or,или же
Belle,красавица
cash,денежные средства
or,или же
Cash,Денежные средства
gives,дает
department,отделение
nose,нос
Skye,Skye
turns,витки
keeps,держит
beer,пиво
jealous,ревнивый
drug,лекарство
Molly,Молли
sooner,рано
cares,заботы
plenty,множество
extra,дополнительный
tea,чай
won,победил
attack,атака
ground,земля
whose,чей
outta,убираться
Kyle,рукав моря
L,L
weekend,выходные дни
matters,имеет значение
wrote,писал
type,тип
father,отец
s,s
Alex,Алекс
gosh,черт возьми
opportunity,возможность
king,король
impossible,невозможно
books,книги
machine,машина
waste,трата
th,го
th,го
pretend,делать вид
named,названный
danger,Опасность
wall,стена
Liz,Лиз
Ian,Ян
Henry,Генри
jump,Прыгать
eating,принимать пищу
proof,доказательство
complete,полный
slept,спала
career,карьера
arrest,арестовывать
star,звезда
Phyllis,Филис
Mac,макинтош
breathe,дышать
perfectly,отлично
warm,теплый
pulled,вытащил
Maria,Мария
twice,дважды
easier,Полегче
killer,убийца
goin,входить
dating,знакомства
suit,подходить
romantic,романтик
drugs,наркотики
comfortable,комфортный
Isaac,Исаак
powers,полномочия
or,или же
Powers,полномочия
finds,находки
checked,проверено
fit,соответствовать
divorce,расторжение брака
begin,начинать
ourselves,сами
closer,ближе
ruin,разорение
although,хотя
smile,улыбка
laugh,смех
fish,рыбы
Abigail,камеристка
treat,удовольствие
god,Бог
s,s
fear,страх
Anna,Анна
what,какие
d,d
Simone,Симона
Amber,Янтарь
guy,парень
s,s
otherwise,иначе
excited,в восторге
mail,Почта
hiding,прячется
cost,Стоимость
green,зеленый
or,или же
Green,Зеленый
stole,украл
Pacey,Pacey
noticed,заметил
Liza,Лиза
fired,уволенный
Daphne,волчеягодник
Whitney,Уитни
excellent,отлично
lived,жил
bringing,приведение
pop,поп
piper,волынщик
or,или же
Piper,волынщик
bottom,Нижний
note,Примечание
sudden,внезапный
church,церковь
bathroom,ванная
flight,полет
Chad,Чад
or,или же
chad,Чад
la,ля
or,или же
LA,Луизиана
honestly,честно говоря
sing,петь
Katie,Кэти
foot,стопа
games,игры
glass,стекло
N,N
Mitch,Митч
remind,напоминать
bank,банк
Rory,Рори
charges,расходы
witness,свидетель
finding,обнаружение
places,мест
tree,дерево
dare,сметь
hardly,едва
that,что
ll,Л.Л.
U,U
interest,интерес
steal,воровать
princess,принцесса
silly,глупый
contact,контакт
teach,учить
shop,магазин
plus,плюс
colonel,полковник
fresh,свежий
trial,пробный
invited,приглашенный
roll,рулон
radio,радио
art,Изобразительное искусство
reach,достигать
heh,хех
dirty,грязный
choose,выберите
emergency,чрезвычайная ситуация
dropped,упавший
butt,приклад
credit,кредит
obvious,очевидный
cry,плакать
locked,запертый
Larry,Larry
loving,любящий
positive,положительный
nuts,орешки
agreed,согласовано
Prue,Prue
price,цена
or,или же
Price,Цена
goodbye,до свидания
condition,условие
guard,сторожить
fuckin,гребаный
grow,расти
cake,кекс
mood,настроение
dad,папа
s,s
Bianca,Bianca
total,общее
crap,дерьмо
crying,плач
Paige,Paige
K,К
or,или же
k,К
belong,принадлежать
lay,класть
partner,партнер
trick,обманывать
pressure,давление
ohh,Ох
arm,рука
dressed,одетый
cup,чашка
lies,ложь
bus,автобус
taste,вкус
neck,шея
south,юг
something,что-нибудь
s,s
nurse,медсестра
raise,поднимать
land,земля
cross,Пересекать
lots,много
mister,Господин
carry,нести
group,группа
whoever,кто бы ни
Eddie,Эдди
drinking,питьевой
they,Они
d,d
breaking,ломка
file,файл
lock,замок
computer,компьютер
yo,Эй
Rebecca,Ребекка
wine,вино
closed,закрыто
writing,письмо
spot,место
paying,платеж
study,изучение
assume,предполагать
asleep,спящий
man,человек
s,s
turning,превращение
legal,правовой
justice,справедливость
Viki,Viki
Chandler,лавочник
bedroom,спальная комната
shower,душ
Nikolas,Nikolas
camera,камера
fill,наполнять
reasons,причины
forty,сорок
bigger,больше
nope,Неа
keys,ключи
Starr,Starr
breath,дыхание
doctors,врачи
pants,штаны
freak,ненормальный
level,уровень
French,Французский
movies,кино
gee,вот здорово
Monica,Моника
action,действие
area,область
folks,близкие
Steve,Стив
cream,кремовый цвет
ugh,фу
continue,Продолжать
focus,фокус
wild,дикий
truly,действительно
Jill,Джил
or,или же
jill,Джил
desk,стол письменный
convince,убеждать
client,клиент
threw,метала
Taylor,Тейлор
band,группа
hurts,болит
Charles,Чарльз
spending,расходы
Neil,Нил
field,поле
or,или же
Field,Поле
allow,позволять
grand,большой
answers,ответы
shirt,Рубашка
chair,стул
Christ,Христос
or,или же
christ,Христос
allowed,разрешается
rough,грубый
doin,делаешь
sees,видит
government,правительство
Harry,Гарри
ought,должен
empty,пустой
round,круглый
lights,огни
insane,безумный
hall,зал
or,или же
Hall,зал
hat,шляпа
bastard,сволочь
wind,ветер
shows,шоу
aware,осведомленный
dealing,дилинг
pack,пакет
meaning,имея в виду
flowers,цветы
tight,тугой
hurting,больно
ship,корабль
subject,предмет
guest,гость
mom,Мама
s,s
chicken,курица
pal,собутыльник
match,матч
Elaine,Элейн
arrested,арестованный
sun,солнце
Rachel,Рейчел
Salem,Salem
confused,смущенный
surgery,операция
expecting,ожидая
deacon,дьякон
Colleen,Коллин
unfortunately,к несчастью
goddamn,проклятие
lab,лаборатория
passed,прошедший
bottle,бутылка
beyond,вне
whenever,в любое время
pool,бассейн
opinion,мнение
naked,обнаженный
held,проводится
common,общий
starts,начинается
jerk,придурок
secrets,секреты
falling,падение
played,играл
necessary,нужно
barely,едва
dancing,танцы
health,здоровье
tests,тесты
copy,копия
Keri,Keri
video,видео
cousin,двоюродная сестра
planned,планируемый
Vanessa,Ванесса
dry,сухой
ahem,гм
twelve,двенадцать
simply,просто
Tess,Tess
Scott,Скотт
skin,кожа
often,довольно часто
English,английский
fifteen,пятнадцать
spirit,дух
speech,речь
names,имена
issue,проблема
orders,заказы
nah,Неа
final,окончательный
Michelle,Мишель
America,Америка
St,улица
results,полученные результаты
code,код
Ned,Ned
Bonnie,Бонни
W,W
believed,"Считается,"
complicated,сложный
umm,ммм
research,исследовать
nowhere,нигде
escape,побег
biggest,самый большой
restaurant,ресторан
page,страница
or,или же
Page,Страница
grateful,благодарный
usual,обычный
burn,гореть
Chicago,Чикаго
Austin,Остин
address,адрес
within,в
someplace,где-то
screw,винт
everywhere,везде
train,тренироваться
film,фильм
regret,сожалеть
goodness,доброта
mistakes,ошибки
heaven,небеса
or,или же
Heaven,Небеса
details,подробности
responsibility,обязанность
suspect,подозревать
corner,угол
hero,герой
dumb,тупой
terrific,потрясающий
Peter,Питер
mission,миссия
further,способствовать
Amy,Эми
gas,газ
whoo,Охайте
hole,отверстие
memories,воспоминания
o,о
clock,Часы
Brian,Брайан
truck,грузовик
following,следующий
ended,закончился
nobody,никто
s,s
Margo,Margo
teeth,зубы
ruined,разрушенный
Hank,моток
split,расколоть
Reva,Рева
bear,нести
airport,аэропорт
bite,кусать
smoke,дым
Stenbeck,Стенбек
older,старшая
liar,лжец
horse,лошадь
Gwen,Гвен
showing,показ
van,фургон
or,или же
Van,фургон
project,проект
cards,открытки
desperate,отчаянный
themselves,сами себя
search,поиск
pathetic,жалкий
damage,повреждать
spoke,спица
quickly,быстро
scare,попугать
Marah,Marah
G,грамм
beach,пляж
Mia,Mia
brown,коричневый
or,или же
Brown,коричневый
afford,предоставлять
vote,голосование
settle,решить
gold,золото
re,ре
or,или же
re,ре
mentioned,упомянул
ed,издание
or,или же
ed,издание
due,должное
passion,страсть
Y,Y
or,или же
y,Y
stayed,остался
rule,правило
Friday,Пятница
checking,проверка
tie,галстук
hired,наемный
upon,на
rush,порыв
or,или же
Rush,Торопиться
Tad,Тэд
heads,руководители
concern,беспокойство
blew,дул
natural,естественный
Alcazar,алькасар
Kramer,Kramer
champagne,шампанское
connection,связь
tickets,Билеты
Kate,Катя
finger,Палец
happiness,счастье
form,форма
saving,экономия
kissing,целование
Martin,Мартин
hated,ненавистный
personally,лично
suggest,предложить
prepared,готовый
build,строить
leg,нога
onto,на
leaves,листья
downstairs,вниз по лестнице
ticket,проездной билет
it,Это
d,d
taught,учил
loose,свободный
holy,святой
staff,персонал
sea,море
Asa,Как
planet,планета
duty,долг
convinced,убежденный
throwing,бросание
defense,защита
Harvey,Харви
kissed,поцелованных
legs,ноги
Dave,Дейв
according,в соответствии
loud,громкий
practice,упражняться
Andy,Энди
Jess,Джесс
Saturday,Суббота
Colin,Colin
bright,яркий
or,или же
Bright,Яркий
Amanda,Аманда
Fraser,Фрейзер
F,F
babies,дети
army,армия
where,где
d,d
warning,предупреждение
miracle,чудо
carrying,балансовая стоимость
flying,летающий
Caleb,Калеб
blind,слепой
queen,Королева
ugly,уродливый
shopping,поход по магазинам
hates,ненавидит
someone,кто-то
s,s
Seth,Сет
monster,монстр
sight,зрение
vampire,вампир
Rosanna,Розанна
bride,невеста
coat,Пальто
account,учетная запись
states,состояния
clearly,четко
celebrate,праздновать
Nicole,Николь
brilliant,блестящий
wanting,желая
Allison,Allison
add,Добавлять
moon,Луна
Forrester,Forrester
lips,губы
custody,под стражей
center,центр
screwed,Резьбовые
buying,покупка
size,размер
toast,тост
thoughts,мысли
Isabella,Изабелла
student,ученик
stories,истории
however,тем не мение
professional,профессиональный
stars,звезды
reality,реальность
Jimmy,Джимми
or,или же
jimmy,Джимми
birth,рождение
Lexie,Лекси
attitude,отношение
advantage,преимущество
grandfather,Дед
Sami,Сами
sold,продано
opened,открытый
Lily,Лили
grandma,бабушка
beg,очень прошу
Edward,Эдвард
changes,изменения
Diego,Диего
Cole,капуста
someday,когда-нибудь
grade,оценка
cheese,сыр
roof,крыша
Kenny,Kenny
Bobby,Бобби
or,или же
bobby,Бобби
pizza,пицца
brothers,братья
X,Икс
or,или же
x,Икс
signed,подписанный
bird,птица
ahh,Ах
marrying,женитьба
powerful,мощный
grown,взрослый
grandmother,бабушка
fake,подделка
opening,открытие
Sally,Салли
Stephanie,Стефания
expected,ожидал
eventually,в конце концов
must,должен
ve,ве
ideas,идеи
exciting,захватывающий
covered,покрытый
Parker,Parker
de,де
familiar,знакомый
bomb,бомбить
bout,бой
television,телевидение
harmony,гармония
or,или же
Harmony,гармония
color,цвет
heavy,тяжелый
schedule,расписание
records,учет
H,ЧАС
dollar,доллар
capable,способный
master,владелец
numbers,чисел
Toby,Тоби
practically,практически
including,в том числе
correct,верный
clue,ключ к разгадке
forgotten,забытый
immediately,немедленно
appointment,"деловое свидание, встреча"
social,Социальное
nature,природа
s,s
s,s
s,s
s,s
s,s
s,s
deserves,заслуживает
west,Запад
or,или же
West,Запад
Blake,Блейк
teacher,учитель
threat,угроза
Frankie,Фрэнки
bloody,кровавый
lonely,"Одинокий, уединенный"
Kelly,Келли
ordered,упорядоченный
shame,стыд
Brittany,Бретань
local,местный
jacket,пиджак
hook,крюк
destroyed,разрушенный
scary,страшный
loser,неудачник
investigation,изучение
above,выше
Jamal,Джамал
invite,приглашать
shooting,стрельба
merry,веселый
port,порт
precious,драгоценный
lesson,урок
Roy,Рой
criminal,преступник
growing,рост
caused,вызванный
victim,жертва
professor,профессор
followed,с последующим
funeral,похороны
nothing,ничего такого
s,s
dean,декан
considering,учитывая
burning,сжигание
couch,диван
strength,сила
harder,Сильнее
loss,потеря
view,Посмотреть
Gia,Гия
beauty,Красота
sisters,сестры
everybody,все
s,s
several,несколько
pushed,толкнул
Nicholas,Николас
written,написано
somebody,кто-нибудь
s,s
shock,шок
pushing,толкая
heat,нагревать
chocolate,шоколад
greatest,величайший
Holden,Holden
miserable,убогий
Corinthos,Corinthos
nightmare,ночной кошмар
energy,энергия
brings,приносит
Zander,судак
character,персонаж
became,стал
famous,известный
enemy,враг
crash,крушение
chances,шансы
sending,отправка
recognize,распознавать
healthy,здоровый
boring,скучный
feed,кормить
engaged,увлеченный
Sarah,Сара
percent,процентов
headed,двуглавый
Brandon,Brandon
lines,линии
treated,обрабатывали
purpose,цель
north,к северу
or,или же
North,к северу
knife,нож
rights,права
drag,тащить
San,Сан -
fan,поклонник
badly,плохо
speed,скорость
Santa,Санта
hire,прокат
curious,любопытный
paint,покрасить
pardon,помилование
Jackson,Джексон
built,построен
behavior,поведение
closet,стенной шкаф
candy,конфеты
or,или же
Candy,Конфеты
Helena,Елена
warn,предупреждать
gorgeous,великолепный
post,Почта
